C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2023/05/09,22:20:19,0000000386779802,DEMAND,0000000386779621
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:00:00",QLDN,0,1,MEASUREMENT,"2023/04/01 03:19:21"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:00:00",QLDN,0,0.6,SATELLITE,"2023/04/01 03:20:28"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:00:00",QLDS,0,0.6,SATELLITE,"2023/04/01 03:20:29"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:00:00",QLDS,0,1,MEASUREMENT,"2023/04/01 03:19:21"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:00:00",SA1,0,1,MEASUREMENT,"2023/04/01 03:19:21"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:00:00",SA1,0,0.6,SATELLITE,"2023/04/01 03:20:29"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:00:00",TAS1,0,1,MEASUREMENT,"2023/04/01 03:19:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:00:00",TAS1,0,0.6,SATELLITE,"2023/04/01 03:20:29"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:00:00",TASN,0,0.6,SATELLITE,"2023/04/01 03:20:29"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:00:00",TASN,0,1,MEASUREMENT,"2023/04/01 03:19:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:00:00",TASS,0,1,MEASUREMENT,"2023/04/01 03:19:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:00:00",TASS,0,0.6,SATELLITE,"2023/04/01 03:20:29"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:00:00",VIC1,0,1,MEASUREMENT,"2023/04/01 03:19:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:00:00",VIC1,0,0.6,SATELLITE,"2023/04/01 03:20:29"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",NSW1,0,0.6,SATELLITE,"2023/04/01 03:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",NSW1,0,1,MEASUREMENT,"2023/04/01 03:49:21"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",QLD1,0,0.6,SATELLITE,"2023/04/01 03:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",QLD1,0,1,MEASUREMENT,"2023/04/01 03:49:21"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",QLDC,0,0.6,SATELLITE,"2023/04/01 03:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",QLDC,0,1,MEASUREMENT,"2023/04/01 03:49:21"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",QLDN,0,1,MEASUREMENT,"2023/04/01 03:49:21"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",QLDN,0,0.6,SATELLITE,"2023/04/01 03:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",QLDS,0,1,MEASUREMENT,"2023/04/01 03:49:21"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",QLDS,0,0.6,SATELLITE,"2023/04/01 03:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",SA1,0,1,MEASUREMENT,"2023/04/01 03:49:21"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",SA1,0,0.6,SATELLITE,"2023/04/01 03:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",TAS1,0,0.6,SATELLITE,"2023/04/01 03:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",TAS1,0,1,MEASUREMENT,"2023/04/01 03:49:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",TASN,0,1,MEASUREMENT,"2023/04/01 03:49:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",TASN,0,0.6,SATELLITE,"2023/04/01 03:50:23"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",TASS,0,1,MEASUREMENT,"2023/04/01 03:49:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",TASS,0,0.6,SATELLITE,"2023/04/01 03:50:23"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",VIC1,0,1,MEASUREMENT,"2023/04/01 03:49:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 03:30:00",VIC1,0,0.6,SATELLITE,"2023/04/01 03:50:23"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",NSW1,0,0.6,SATELLITE,"2023/04/01 04:20:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",NSW1,0,1,MEASUREMENT,"2023/04/01 04:19:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",QLD1,0,0.6,SATELLITE,"2023/04/01 04:20:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",QLD1,0,1,MEASUREMENT,"2023/04/01 04:19:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",QLDC,0,1,MEASUREMENT,"2023/04/01 04:19:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",QLDC,0,0.6,SATELLITE,"2023/04/01 04:20:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",QLDN,0,1,MEASUREMENT,"2023/04/01 04:19:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",QLDN,0,0.6,SATELLITE,"2023/04/01 04:20:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",QLDS,0,1,MEASUREMENT,"2023/04/01 04:19:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",QLDS,0,0.6,SATELLITE,"2023/04/01 04:20:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",SA1,0,1,MEASUREMENT,"2023/04/01 04:19:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",SA1,0,0.6,SATELLITE,"2023/04/01 04:20:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",TAS1,0,1,MEASUREMENT,"2023/04/01 04:19:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",TAS1,0,0.6,SATELLITE,"2023/04/01 04:20:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",TASN,0,1,MEASUREMENT,"2023/04/01 04:19:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",TASN,0,0.6,SATELLITE,"2023/04/01 04:20:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",TASS,0,1,MEASUREMENT,"2023/04/01 04:19:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",TASS,0,0.6,SATELLITE,"2023/04/01 04:20:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",VIC1,0,0.6,SATELLITE,"2023/04/01 04:20:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:00:00",VIC1,0,1,MEASUREMENT,"2023/04/01 04:19:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",NSW1,0,0.6,SATELLITE,"2023/04/01 04:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",NSW1,0,1,MEASUREMENT,"2023/04/01 04:49:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",QLD1,0,0.6,SATELLITE,"2023/04/01 04:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",QLD1,0,1,MEASUREMENT,"2023/04/01 04:49:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",QLDC,0,1,MEASUREMENT,"2023/04/01 04:49:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",QLDC,0,0.6,SATELLITE,"2023/04/01 04:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",QLDN,0,0.6,SATELLITE,"2023/04/01 04:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",QLDN,0,1,MEASUREMENT,"2023/04/01 04:49:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",QLDS,0,1,MEASUREMENT,"2023/04/01 04:49:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",QLDS,0,0.6,SATELLITE,"2023/04/01 04:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",SA1,0,0.6,SATELLITE,"2023/04/01 04:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",SA1,0,1,MEASUREMENT,"2023/04/01 04:49:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",TAS1,0,1,MEASUREMENT,"2023/04/01 04:49:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",TAS1,0,0.6,SATELLITE,"2023/04/01 04:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",TASN,0,0.6,SATELLITE,"2023/04/01 04:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",TASN,0,1,MEASUREMENT,"2023/04/01 04:49:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",TASS,0,0.6,SATELLITE,"2023/04/01 04:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",TASS,0,1,MEASUREMENT,"2023/04/01 04:49:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",VIC1,0,1,MEASUREMENT,"2023/04/01 04:49:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 04:30:00",VIC1,0,0.6,SATELLITE,"2023/04/01 04:50:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",NSW1,0,0.6,SATELLITE,"2023/04/01 05:20:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",NSW1,0,1,MEASUREMENT,"2023/04/01 05:19:24"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",QLD1,0,1,MEASUREMENT,"2023/04/01 05:19:24"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",QLD1,0,0.6,SATELLITE,"2023/04/01 05:20:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",QLDC,0,1,MEASUREMENT,"2023/04/01 05:19:24"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",QLDC,0,0.6,SATELLITE,"2023/04/01 05:20:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",QLDN,0,0.6,SATELLITE,"2023/04/01 05:20:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",QLDN,0,1,MEASUREMENT,"2023/04/01 05:19:24"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",QLDS,0,0.6,SATELLITE,"2023/04/01 05:20:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",QLDS,0,1,MEASUREMENT,"2023/04/01 05:19:24"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",SA1,0,0.6,SATELLITE,"2023/04/01 05:20:22"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",SA1,0,1,MEASUREMENT,"2023/04/01 05:19:24"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",TAS1,0,0.6,SATELLITE,"2023/04/01 05:20:23"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",TAS1,0,1,MEASUREMENT,"2023/04/01 05:19:24"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",TASN,0,1,MEASUREMENT,"2023/04/01 05:19:24"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",TASN,0,0.6,SATELLITE,"2023/04/01 05:20:23"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",TASS,0,1,MEASUREMENT,"2023/04/01 05:19:24"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",TASS,0,0.6,SATELLITE,"2023/04/01 05:20:23"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",VIC1,0,1,MEASUREMENT,"2023/04/01 05:19:24"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:00:00",VIC1,0,0.6,SATELLITE,"2023/04/01 05:20:23"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:30:00",NSW1,0,0.6,SATELLITE,"2023/04/01 05:50:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:30:00",NSW1,0,1,MEASUREMENT,"2023/04/01 05:49:24"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:30:00",QLD1,0,0.6,SATELLITE,"2023/04/01 05:50:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:30:00",QLD1,0,1,MEASUREMENT,"2023/04/01 05:49:24"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:30:00",QLDC,0,0.6,SATELLITE,"2023/04/01 05:50:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:30:00",QLDC,0,1,MEASUREMENT,"2023/04/01 05:49:24"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:30:00",QLDN,0,0.6,SATELLITE,"2023/04/01 05:50:26"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:30:00",QLDN,0,1,MEASUREMENT,"2023/04/01 05:49:24"
D,ROOFTOP,ACTUAL,2,"2023/04/01 05:30:00",QLDS,0,0.6,SATELLITE,"2023/04/01 05:50:26"
