C,SETP.WORLD,DVD_ROOFTOP_PV_ACTUAL,AEMO,PUBLIC,2025/12/08,12:48:05,001765162085391,MONTHLY_ARCHIVE,001765162085391
I,ROOFTOP,ACTUAL,2,INTERVAL_DATETIME,REGIONID,POWER,LASTCHANGED,TYPE,QI
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",NSW1,0,"2025/11/01 00:49:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",QLD1,0,"2025/11/01 00:49:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",QLDC,0,"2025/11/01 00:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",QLDN,0,"2025/11/01 00:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",QLDS,0,"2025/11/01 00:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",SA1,0,"2025/11/01 00:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",TAS1,0,"2025/11/01 00:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",TASN,0,"2025/11/01 00:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",TASS,0,"2025/11/01 00:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",VIC1,0,"2025/11/01 00:49:15",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",NSW1,0,"2025/11/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",QLD1,0,"2025/11/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",QLDC,0,"2025/11/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",QLDN,0,"2025/11/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",QLDS,0,"2025/11/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",SA1,0,"2025/11/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",TAS1,0,"2025/11/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",TASN,0,"2025/11/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",TASS,0,"2025/11/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/11/01 00:30:00",VIC1,0,"2025/11/01 00:50:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/11/01 01:00:00",QLDN,0,"2025/11/01 01:19:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 01:00:00",NSW1,0,"2025/11/01 01:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 01:00:00",QLD1,0,"2025/11/01 01:19:13",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 01:00:00",QLDC,0,"2025/11/01 01:19:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 01:00:00",QLDS,0,"2025/11/01 01:19:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 01:00:00",SA1,0,"2025/11/01 01:19:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 01:00:00",TAS1,0,"2025/11/01 01:19:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 01:00:00",TASN,0,"2025/11/01 01:19:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 01:00:00",TASS,0,"2025/11/01 01:19:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 01:00:00",VIC1,0,"2025/11/01 01:19:14",MEASUREMENT,1
D,ROOFTOP,ACTUAL,2,"2025/11/01 01:00:00",NSW1,0,"2025/11/01 01:20:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/11/01 01:00:00",QLD1,0,"2025/11/01 01:20:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/11/01 01:00:00",QLDC,0,"2025/11/01 01:20:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/11/01 01:00:00",QLDN,0,"2025/11/01 01:20:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/11/01 01:00:00",QLDS,0,"2025/11/01 01:20:24",SATELLITE,0.6
D,ROOFTOP,ACTUAL,2,"2025/11/01 01:00:00",SA1,0,"2025/11/01 01:20:25",SATELLITE,0.6
